handle,ALOHA_초급반_1주차 (반가워요),ALOHA_중급반_1주차 (반가워요),ALOHA_고급반_1주차 (반가워요),ALOHA_중급반_2주차 (두근두근),ALOHA_초급반_2주차 (두근두근),ALOHA_고급반_2주차 (두근두근),ALOHA_초급반_3주차,ALOHA_중급반_3주차,ALOHA_고급반_3주차 (흐물흐물),ALOHA_초급반_4주차 (파이팅),ALOHA_중급반_4주차 (파이팅),ALOHA_고급반_4주차 (파이팅),ALOHA_초급반_5주차 (아자아자),ALOHA_중급반_5주차 (아자아자),ALOHA_고급반_5주차 (아자아자),ALOHA_초급반_6주차 (으쌰으쌰),ALOHA_중급반_6주차 (으쌰으쌰),ALOHA_고급반_6주차 (으쌰으쌰),ALOHA_초급반_7주차(으랏차차),ALOHA_중급반_7주차 (으랏차차),ALOHA_고급반_7주차 (으랏차차),ALOHA_초급반_8주차 (수고했어요),ALOHA_중급반_8주차 (수고했어요),ALOHA_고급반_8주차 (수고했어요),ALOHA_월반멘토링_1주차 (가보자고~),ALOHA_월반멘토링_2주차 (아자아자 파이팅),ALOHA_월반멘토링_3주차 (오호라~),ALOHA_월반멘토링_4주차 (할수있어!),ALOHA_월반멘토링_5주차 (수고했어용)
kalpa,1,3,0,0,0,0,0,3,0,0,3,0,0,0,0,1,3,0,0,1,0,3,2,0,0,0,0,1,0
keepon,8,0,0,0,6,0,5,2,0,3,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0
kibo82,0,4,0,1,0,0,0,0,0,2,4,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
kimjh2177,1,5,0,1,1,0,0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
knho0136,8,2,0,3,6,0,9,4,0,5,0,0,8,0,0,9,1,0,10,0,0,4,0,0,0,0,0,0,0
ksostel10,8,0,0,2,6,0,8,0,0,6,0,0,5,2,0,9,1,0,9,0,0,0,0,0,6,5,0,0,0
ktw020409,1,0,0,1,4,0,0,5,0,2,1,0,2,4,0,3,2,0,5,0,0,5,0,0,1,1,1,0,0
kyukun3,7,2,0,5,3,0,5,4,0,7,0,0,5,7,0,2,1,0,4,1,0,3,0,0,1,3,1,0,0
lake,0,0,2,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,5,1,0,1,0
leezoe,8,0,0,0,4,0,5,0,0,3,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
letscode100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lhi0126,8,0,0,0,4,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
limhs2255,8,2,0,1,6,0,9,1,0,4,0,0,6,0,0,6,1,0,7,0,0,1,0,0,0,0,0,0,0
limjduni,8,3,0,4,6,0,9,3,0,7,0,0,8,0,0,6,1,0,5,0,0,3,0,0,1,0,0,0,0
live1234,0,5,0,7,0,0,0,7,0,1,3,0,0,3,0,0,3,0,1,4,0,7,4,0,1,0,0,1,0
ljungwon91,8,1,0,2,6,0,3,3,0,3,0,0,4,0,0,3,0,0,4,0,0,3,0,0,6,1,0,0,0
mgtkiwi_48,8,1,0,1,6,0,5,3,0,3,0,0,3,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,0
mikle8244,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine55,0,4,0,0,1,0,0,1,0,1,3,0,0,3,0,1,3,0,1,0,0,1,3,0,0,0,0,1,0
mnx,2,4,0,10,6,0,8,8,2,4,3,0,4,8,0,7,2,0,6,4,1,7,6,1,9,6,4,6,4
moonlight1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
my3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mychoi1199,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
myday2day,0,3,0,10,0,0,1,9,0,1,2,0,1,4,0,1,0,0,2,0,0,9,0,0,5,1,0,0,0
nananiji,4,2,0,8,2,0,1,13,1,5,0,0,8,8,1,9,3,0,11,0,1,12,4,1,9,8,0,2,0
ngh0726,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nick832,0,2,13,1,0,12,0,1,12,0,3,10,0,15,10,0,8,13,1,0,8,1,0,8,1,4,1,1,3
ollo2010,8,0,0,1,6,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
onkkno,1,2,3,0,6,1,1,3,3,5,0,0,3,4,1,1,1,0,1,0,0,3,3,0,0,3,2,0,0
osy515,7,5,0,4,1,0,2,6,0,3,4,0,2,5,1,2,6,0,5,3,0,6,5,0,0,0,0,2,1
p6j6w6,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,1,0,3,2,0,0,0,0,1,0
parksemi0317,8,1,0,1,2,0,4,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
phrimm136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pkxx1004,8,0,0,0,5,0,3,0,0,3,0,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
purefriend,8,0,0,0,6,0,6,2,0,3,0,0,8,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0
qoalstjr,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
qwerasdf,0,3,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
rgose,8,0,0,0,6,0,3,0,0,3,0,0,3,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0
